poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_LOG_014426,Census logistics 52350419,135.618750,34.679167,MFS71,LOGISTICS_HUB,high
CEN_LOG_014427,Census logistics 52350429,135.618750,34.687500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014428,Census logistics 52350471,135.518750,34.729167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014429,Census logistics 52350472,135.531250,34.729167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014430,Census logistics 52350482,135.531250,34.737500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014431,Census logistics 52350484,135.556250,34.737500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014432,Census logistics 52350596,135.706250,34.745833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014433,Census logistics 52350682,135.781250,34.737500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014434,Census logistics 52350614,135.806250,34.679167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014435,Census logistics 52350695,135.818750,34.745833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014436,Census logistics 52351644,135.806250,34.787500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014437,Census logistics 52351322,135.406250,34.770833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014438,Census logistics 52351662,135.781250,34.804167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014439,Census logistics 52351324,135.431250,34.770833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014440,Census logistics 52351682,135.781250,34.820833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014441,Census logistics 52351329,135.493750,34.770833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014442,Census logistics 52351346,135.456250,34.787500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014443,Census logistics 52351357,135.468750,34.795833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014444,Census logistics 52351365,135.443750,34.804167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014445,Census logistics 52351371,135.393750,34.812500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014446,Census logistics 52351683,135.793750,34.820833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014447,Census logistics 52351684,135.806250,34.820833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014448,Census logistics 52351399,135.493750,34.829167,MFS71,LOGISTICS_HUB,high
CEN_LOG_014449,Census logistics 52351427,135.593750,34.770833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014450,Census logistics 52351462,135.531250,34.804167,MFS71,LOGISTICS_HUB,high
CEN_LOG_014451,Census logistics 52351474,135.556250,34.812500,MFS71,LOGISTICS_HUB,high
CEN_LOG_014452,Census logistics 52350799,135.993750,34.745833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014453,Census logistics 52351763,135.918750,34.804167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014454,Census logistics 52351479,135.618750,34.812500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014455,Census logistics 52351487,135.593750,34.820833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014456,Census logistics 52351494,135.556250,34.829167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014457,Census logistics 52351512,135.656250,34.762500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014458,Census logistics 52351546,135.706250,34.787500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014459,Census logistics 52351001,135.018750,34.754167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014460,Census logistics 52351004,135.056250,34.754167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014461,Census logistics 52351572,135.656250,34.812500,MFS71,LOGISTICS_HUB,high
CEN_LOG_014462,Census logistics 52351577,135.718750,34.812500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014463,Census logistics 52351581,135.643750,34.820833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014464,Census logistics 52351032,135.031250,34.779167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014465,Census logistics 52351050,135.006250,34.795833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014466,Census logistics 52351101,135.143750,34.754167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014467,Census logistics 52352289,135.368750,34.904167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014468,Census logistics 52352330,135.381250,34.862500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014469,Census logistics 52352147,135.218750,34.870833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014470,Census logistics 52352343,135.418750,34.870833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014471,Census logistics 52352174,135.181250,34.895833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014472,Census logistics 52352186,135.206250,34.904167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014473,Census logistics 52352188,135.231250,34.904167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014474,Census logistics 52352374,135.431250,34.895833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014475,Census logistics 52352650,135.756250,34.879167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014476,Census logistics 52352661,135.768750,34.887500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014477,Census logistics 52352694,135.806250,34.912500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014478,Census logistics 52352501,135.643750,34.837500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014479,Census logistics 52352502,135.656250,34.837500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014480,Census logistics 52352517,135.718750,34.845833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014481,Census logistics 52351268,135.356250,34.804167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014482,Census logistics 52353001,135.018750,34.920833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014483,Census logistics 52352530,135.631250,34.862500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014484,Census logistics 52352545,135.693750,34.870833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014485,Census logistics 52352574,135.681250,34.895833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014486,Census logistics 52351288,135.356250,34.820833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014487,Census logistics 52352614,135.806250,34.845833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014488,Census logistics 52353309,135.493750,34.920833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014489,Census logistics 52353090,135.006250,34.995833,MFS71,LOGISTICS_HUB,low
